method,dataset,instance,run_id,seed,Z_at_cutoff,selected_time_s,selected_tag,final_objective,time_to_best_s,total_time_s,overrun_s,source_run_hard_stop_compliant,value_found_within_budget,comparison_eligible,T_json,J_json,I_json,iterations,source_path,paper_note
ILS_v2,2X,IncT2X_1,5,5,46218.909,354.661,GRASP_warmup,45425.166,3550.974,3605.007,3005.007,False,True,True,38,160,50,294,experiments/GRASP/results_ils_v2/IncT2X_1_run05.json,
ILS_v2,2X,IncT2X_1,6,6,49681.973,482.818,GRASP_warmup,42830.214,2910.533,3601.412,3001.412,False,True,True,38,160,50,287,experiments/GRASP/results_ils_v2/IncT2X_1_run06.json,
ILS_v2,2X,IncT2X_1,7,7,46007.526,11.594,GRASP_warmup,44712.559,3300.741,3601.525,3001.525,False,True,True,38,160,50,279,experiments/GRASP/results_ils_v2/IncT2X_1_run07.json,
ILS_v2,2X,IncT2X_1,8,8,45355.163,158.406,GRASP_warmup,44338.326,3380.387,3601.424,3001.424,False,True,True,38,160,50,301,experiments/GRASP/results_ils_v2/IncT2X_1_run08.json,
ILS_v2,2X,IncT2X_1,9,9,45255.709,468.249,GRASP_warmup,44318.616,3569.577,3604.182,3004.182,False,True,True,38,160,50,294,experiments/GRASP/results_ils_v2/IncT2X_1_run09.json,
ILS_v2,2X,IncT2X_1,10,10,47010.361,401.372,GRASP_warmup,43545.673,1302.618,3603.204,3003.204,False,True,True,38,160,50,313,experiments/GRASP/results_ils_v2/IncT2X_1_run10.json,
ILS_v2,2X,IncT2X_2,1,1,123620.105,301.149,GRASP_warmup,106805.948,3556.113,3604.868,3004.868,False,True,True,38,160,50,373,experiments/GRASP/results_ils_v2/IncT2X_2_run01.json,
ILS_v2,2X,IncT2X_2,2,2,119603.531,301.294,GRASP_warmup,107573.659,2154.662,3603.011,3003.011,False,True,True,38,160,50,355,experiments/GRASP/results_ils_v2/IncT2X_2_run02.json,
ILS_v2,2X,IncT2X_2,3,3,121341.883,0.582,GRASP_warmup,110928.766,3218.087,3605.799,3005.799,False,True,True,38,160,50,355,experiments/GRASP/results_ils_v2/IncT2X_2_run03.json,
ILS_v2,2X,IncT2X_2,4,4,110717.709,151.78,GRASP_warmup,106776.062,3189.018,3606.911,3006.911,False,True,True,38,160,50,359,experiments/GRASP/results_ils_v2/IncT2X_2_run04.json,
ILS_v2,2X,IncT2X_2,5,5,126113.225,181.804,GRASP_warmup,112552.216,3266.834,3607.651,3007.651,False,True,True,38,160,50,368,experiments/GRASP/results_ils_v2/IncT2X_2_run05.json,
ILS_v2,2X,IncT2X_2,6,6,123190.851,62.808,GRASP_warmup,110808.719,3591.33,3603.951,3003.951,False,True,True,38,160,50,358,experiments/GRASP/results_ils_v2/IncT2X_2_run06.json,
ILS_v2,2X,IncT2X_2,7,7,116164.143,441.59,GRASP_warmup,111174.465,3065.48,3607.455,3007.455,False,True,True,38,160,50,375,experiments/GRASP/results_ils_v2/IncT2X_2_run07.json,
ILS_v2,2X,IncT2X_2,8,8,119252.574,187.685,GRASP_warmup,108505.169,2233.373,3608.46,3008.46,False,True,True,38,160,50,370,experiments/GRASP/results_ils_v2/IncT2X_2_run08.json,
ILS_v2,2X,IncT2X_2,9,9,120770.774,92.585,GRASP_warmup,110677.688,3194.734,3606.678,3006.678,False,True,True,38,160,50,360,experiments/GRASP/results_ils_v2/IncT2X_2_run09.json,
ILS_v2,2X,IncT2X_2,10,10,114117.82,167.589,GRASP_warmup,113791.744,3106.761,3600.38,3000.38,False,True,True,38,160,50,364,experiments/GRASP/results_ils_v2/IncT2X_2_run10.json,
